data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2023-10-31 01:58:47.327180;2152;VIACAO TERESOPOLIS CAVALHADA LTDA;IXC0105;M. BENZ;O-500M                                            ;2016-02-12;2015.0;DIESEL
2023-10-31 01:58:47.327180;811;COMPANHIA CARRIS PORTO ALEGRENSE;ITX4426;VOLVO                                             ;B340M                                             ;2012-12-28;2012.0;DIESEL
2023-10-31 01:58:47.327180;4806;AUTO VIACAO PRESIDENTE VARGAS LTDA;ITV6765;M. BENZ;O-500M                                            ;2012-12-13;2012.0;DIESEL
2023-10-31 01:58:47.327180;6432;NORTRAN TRANSPORTES COLETIVOS LTDA;ISJ6898;M. BENZ;OF 1722                                           ;2011-10-18;2011.0;DIESEL
2023-10-31 01:58:47.327180;1205;TRANSPORTES COLETIVOS TREVO LTDA;ITE6I99;M. BENZ;O500MA                                            ;2012-06-19;2010.0;DIESEL
2023-10-31 01:58:47.327180;4519;VIACAO ALTO PETROPOLIS LTDA;IOZ6911;M. BENZ;OF 1722M                                          ;2008-08-12;2008.0;DIESEL
2023-10-31 01:58:47.327180;3072;SUDESTE TRANSPORTES COLETIVOS LTDA;IQB7423;M. BENZ;O-500M                                            ;2009-09-02;2009.0;DIESEL
2023-10-31 01:58:47.327180;2361;VIACAO BELEM NOVO LTDA;ITF7631;M. BENZ;OF 1722                                           ;2012-06-30;2011.0;DIESEL
2023-10-31 01:58:47.327180;6729;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ8175;M. BENZ;O-500M                                            ;2011-06-18;2011.0;DIESEL
2023-10-31 01:58:47.327180;6730;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ8177;M. BENZ;O-500M                                            ;2011-06-18;2011.0;DIESEL
2023-10-31 01:58:47.327180;1044;TRANSPORTES COLETIVOS TREVO LTDA;ISM8188;M. BENZ;OF 1722                                           ;2011-11-22;2011.0;DIESEL
2023-10-31 01:58:47.327180;858;COMPANHIA CARRIS PORTO ALEGRENSE;IWH8269;VOLVO                                             ;B290R                                             ;2015-01-31;2014.0;DIESEL
2023-10-31 01:58:47.327180;6463;NORTRAN TRANSPORTES COLETIVOS LTDA;IRY8538;M. BENZ;OF 1722M                                          ;2011-06-09;2011.0;DIESEL
2023-10-31 01:58:47.327180;2363;VIACAO BELEM NOVO LTDA;ITW8932;M. BENZ;O500MA                                            ;2012-12-26;2012.0;DIESEL
2023-10-31 01:58:47.327180;6406;NORTRAN TRANSPORTES COLETIVOS LTDA;IXC0827;VW                                       ;17230                                             ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;3336;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC0855;M. BENZ;O500 U                                            ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;781;COMPANHIA CARRIS PORTO ALEGRENSE;IRA4D26;M. BENZ;O500 U                                            ;2010-08-14;2010.0;DIESEL
2023-10-31 01:58:47.327180;820;COMPANHIA CARRIS PORTO ALEGRENSE;ITX4326;VOLVO                                             ;B340M                                             ;2012-12-28;2012.0;DIESEL
2023-10-31 01:58:47.327180;4454;VIACAO ALTO PETROPOLIS LTDA;IQD4537;M. BENZ;O-500M                                            ;2009-09-23;2009.0;DIESEL
2023-10-31 01:58:47.327180;4420;VIACAO ALTO PETROPOLIS LTDA;IQD4672;M. BENZ;O-500M                                            ;2009-09-23;2009.0;DIESEL
2023-10-31 01:58:47.327180;778;COMPANHIA CARRIS PORTO ALEGRENSE;IRA5099;M. BENZ;O500 U                                            ;2010-08-14;2010.0;DIESEL
2023-10-31 01:58:47.327180;6717;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ5422;M. BENZ;O-500M                                            ;2011-06-22;2011.0;DIESEL
2023-10-31 01:58:47.327180;787;COMPANHIA CARRIS PORTO ALEGRENSE;ISX5457;M. BENZ;O-500M                                            ;2012-03-21;2011.0;DIESEL
2023-10-31 01:58:47.327180;4417;VIACAO ALTO PETROPOLIS LTDA;IPG5829;M. BENZ;O-500M                                            ;2008-10-29;2008.0;DIESEL
2023-10-31 01:58:47.327180;819;COMPANHIA CARRIS PORTO ALEGRENSE;ITX4347;VOLVO                                             ;B340M                                             ;2012-12-28;2012.0;DIESEL
2023-10-31 01:58:47.327180;4453;VIACAO ALTO PETROPOLIS LTDA;IRQ4908;M. BENZ;O 500                                             ;2011-02-25;2010.0;DIESEL
2023-10-31 01:58:47.327180;779;COMPANHIA CARRIS PORTO ALEGRENSE;IRA5109;M. BENZ;O500 U                                            ;2010-08-14;2010.0;DIESEL
2023-10-31 01:58:47.327180;774;COMPANHIA CARRIS PORTO ALEGRENSE;IRA5205;M. BENZ;O500 U                                            ;2010-08-14;2010.0;DIESEL
2023-10-31 01:58:47.327180;3118;SUDESTE TRANSPORTES COLETIVOS LTDA;ITW5235;M. BENZ;O500MA                                            ;2012-12-21;2012.0;DIESEL
2023-10-31 01:58:47.327180;2061;AUTO VIACAO PRESIDENTE VARGAS LTDA;IQC5312;M. BENZ;O-500M                                            ;2009-09-10;2009.0;DIESEL
2023-10-31 01:58:47.327180;3105;SUDESTE TRANSPORTES COLETIVOS LTDA;ISL6505;VW                                       ;17230                                             ;2011-11-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;3085;SUDESTE TRANSPORTES COLETIVOS LTDA;IRA6909;M. BENZ;O-500M                                            ;2010-08-25;2010.0;DIESEL
2023-10-31 01:58:47.327180;6430;NORTRAN TRANSPORTES COLETIVOS LTDA;ISJ6885;M. BENZ;OF 1722                                           ;2011-10-18;2011.0;DIESEL
2023-10-31 01:58:47.327180;6489;NORTRAN TRANSPORTES COLETIVOS LTDA;IUP7043;M. BENZ;OF 1721                                           ;2013-08-15;2013.0;DIESEL
2023-10-31 01:58:47.327180;3141;SUDESTE TRANSPORTES COLETIVOS LTDA;ITR7245;M. BENZ;OF 1721                                           ;2012-11-06;2012.0;DIESEL
2023-10-31 01:58:47.327180;3143;SUDESTE TRANSPORTES COLETIVOS LTDA;ITR7250;M. BENZ;OF 1721                                           ;2012-11-06;2012.0;DIESEL
2023-10-31 01:58:47.327180;2121;VIACAO TERESOPOLIS CAVALHADA LTDA;ISU7435;M. BENZ;OF 1722                                           ;2012-02-15;2011.0;DIESEL
2023-10-31 01:58:47.327180;2346;VIACAO BELEM NOVO LTDA;ITF7G83;M. BENZ;OF 1722                                           ;2012-06-28;2011.0;DIESEL
2023-10-31 01:58:47.327180;2146;VIACAO TERESOPOLIS CAVALHADA LTDA;ITW8186;M. BENZ;O-500M                                            ;2012-12-26;2012.0;DIESEL
2023-10-31 01:58:47.327180;2037;AUTO VIACAO PRESIDENTE VARGAS LTDA;ISQ8256;M. BENZ;O-500M                                            ;2011-12-29;2011.0;DIESEL
2023-10-31 01:58:47.327180;2052;AUTO VIACAO PRESIDENTE VARGAS LTDA;ISQ8259;M. BENZ;O-500M                                            ;2011-12-29;2011.0;DIESEL
2023-10-31 01:58:47.327180;871;COMPANHIA CARRIS PORTO ALEGRENSE;IWH9661;VOLVO                                             ;B290R                                             ;2015-02-06;2014.0;DIESEL
2023-10-31 01:58:47.327180;6125;AUTO VIACAO NAVEGANTES LTDA;IXC1804;M. BENZ;O-500M                                            ;2016-02-16;2015.0;DIESEL
2023-10-31 01:58:47.327180;1102;TRANSPORTES COLETIVOS TREVO LTDA;IXC2021;M. BENZ;O-500M                                            ;2016-02-16;2015.0;DIESEL
2023-10-31 01:58:47.327180;6694;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IYW2065;M. BENZ;OF 1721                                           ;2018-10-29;2018.0;DIESEL
2023-10-31 01:58:47.327180;6652;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IYW2063;M. BENZ;OF 1721                                           ;2018-10-29;2018.0;DIESEL
2023-10-31 01:58:47.327180;2362;VIACAO BELEM NOVO LTDA;IZP9D71;M. BENZ;OF 1721                                           ;2019-10-15;2019.0;DIESEL
2023-10-31 01:58:47.327180;16;COMPANHIA CARRIS PORTO ALEGRENSE;JAC7I49;M. BENZ;OF 1721L;2020-07-29;2020.0;DIESEL
2023-10-31 01:58:47.327180;63;COMPANHIA CARRIS PORTO ALEGRENSE;JAC8D37;M. BENZ;OF 1721L;2020-07-29;2020.0;DIESEL
2023-10-31 01:58:47.327180;45;COMPANHIA CARRIS PORTO ALEGRENSE;JAC8D51;M. BENZ;OF 1721L;2020-07-29;2020.0;DIESEL
2023-10-31 01:58:47.327180;28;COMPANHIA CARRIS PORTO ALEGRENSE;JAC8D89;M. BENZ;OF 1721L;2020-07-29;2020.0;DIESEL
2023-10-31 01:58:47.327180;35;COMPANHIA CARRIS PORTO ALEGRENSE;JAC8D95;M. BENZ;OF 1721L;2020-07-29;2020.0;DIESEL
2023-10-31 01:58:47.327180;85;COMPANHIA CARRIS PORTO ALEGRENSE;JAD8B68;M. BENZ;OF 1721L;2020-07-29;2020.0;DIESEL
2023-10-31 01:58:47.327180;71;COMPANHIA CARRIS PORTO ALEGRENSE;JAD8J67;M. BENZ;OF 1721L;2020-08-14;2020.0;DIESEL
2023-10-31 01:58:47.327180;3349;SUDESTE TRANSPORTES COLETIVOS LTDA;JBJ3F89;M. BENZ;OF 1721                                           ;2022-06-21;2021.0;DIESEL
2023-10-31 01:58:47.327180;829;COMPANHIA CARRIS PORTO ALEGRENSE;IWH9808;VOLVO                                             ;B340MA                                            ;2015-02-24;2014.0;DIESEL
2023-10-31 01:58:47.327180;2381;VIACAO BELEM NOVO LTDA;IXC0243;M. BENZ;O 500                                             ;2016-02-12;2015.0;DIESEL
2023-10-31 01:58:47.327180;6474;NORTRAN TRANSPORTES COLETIVOS LTDA;IXC0813;M. BENZ;OF 1721                                           ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;810;COMPANHIA CARRIS PORTO ALEGRENSE;ITX4402;VOLVO                                             ;B340M                                             ;2012-12-28;2012.0;DIESEL
2023-10-31 01:58:47.327180;4418;VIACAO ALTO PETROPOLIS LTDA;IQD4661;M. BENZ;O-500M                                            ;2009-09-23;2009.0;DIESEL
2023-10-31 01:58:47.327180;2456;RESTINGA TRANSPORTES COLETIVOS LTDA;IRJ4J63;M. BENZ;OF 1722M                                          ;2010-12-01;2010.0;DIESEL
2023-10-31 01:58:47.327180;3107;SUDESTE TRANSPORTES COLETIVOS LTDA;ISL5147;VW                                       ;17230                                             ;2011-11-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;1024;TRANSPORTES COLETIVOS TREVO LTDA;ISP5C49;M. BENZ;O500MA                                            ;2011-12-15;2011.0;DIESEL
2023-10-31 01:58:47.327180;1073;TRANSPORTES COLETIVOS TREVO LTDA;ISP5C51;M. BENZ;O500MA                                            ;2011-12-15;2011.0;DIESEL
2023-10-31 01:58:47.327180;6636;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ5426;M. BENZ;O-500M                                            ;2011-06-22;2011.0;DIESEL
2023-10-31 01:58:47.327180;1032;TRANSPORTES COLETIVOS TREVO LTDA;IRJ5450;M. BENZ;OF 1722M                                          ;2010-12-01;2010.0;DIESEL
2023-10-31 01:58:47.327180;789;COMPANHIA CARRIS PORTO ALEGRENSE;ISY5491;M. BENZ;O-500M                                            ;2012-04-11;2011.0;DIESEL
2023-10-31 01:58:47.327180;684;COMPANHIA CARRIS PORTO ALEGRENSE;IQD5I90;VOLVO                                             ;B7R                                               ;2009-09-24;2009.0;DIESEL
2023-10-31 01:58:47.327180;1108;TRANSPORTES COLETIVOS TREVO LTDA;ISA6071;M. BENZ;O500MA                                            ;2011-06-28;2010.0;DIESEL
2023-10-31 01:58:47.327180;841;COMPANHIA CARRIS PORTO ALEGRENSE;IWK6349;VOLVO                                             ;B290R                                             ;2015-03-24;2014.0;DIESEL
2023-10-31 01:58:47.327180;3104;SUDESTE TRANSPORTES COLETIVOS LTDA;ISL6508;VW                                       ;17230                                             ;2011-11-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;3120;SUDESTE TRANSPORTES COLETIVOS LTDA;IUB3956;VW                                       ;17230                                             ;2013-02-23;2012.0;DIESEL
2023-10-31 01:58:47.327180;4323;VIACAO ESTORIL LTDA;ISQ4103;M. BENZ;O-500M                                            ;2011-12-24;2011.0;DIESEL
2023-10-31 01:58:47.327180;837;COMPANHIA CARRIS PORTO ALEGRENSE;IWK4766;VOLVO                                             ;B290R                                             ;2015-03-18;2014.0;DIESEL
2023-10-31 01:58:47.327180;6106;AUTO VIACAO NAVEGANTES LTDA;IUL4925;SCANIA                                            ;F250;2013-07-12;2012.0;DIESEL
2023-10-31 01:58:47.327180;2458;RESTINGA TRANSPORTES COLETIVOS LTDA;IRJ4J36;M. BENZ;OF 1722M                                          ;2010-12-01;2010.0;DIESEL
2023-10-31 01:58:47.327180;6460;NORTRAN TRANSPORTES COLETIVOS LTDA;IRL5168;M. BENZ;OF 1722M                                          ;2010-12-18;2010.0;DIESEL
2023-10-31 01:58:47.327180;6744;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IUL5332;M. BENZ;O-500M                                            ;2013-06-28;2012.0;DIESEL
2023-10-31 01:58:47.327180;795;COMPANHIA CARRIS PORTO ALEGRENSE;ITA5397;M. BENZ;O-500M                                            ;2012-04-27;2011.0;DIESEL
2023-10-31 01:58:47.327180;1064;TRANSPORTES COLETIVOS TREVO LTDA;IRJ5398;M. BENZ;OF 1722M                                          ;2010-12-01;2010.0;DIESEL
2023-10-31 01:58:47.327180;6740;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ5416;M. BENZ;O-500M                                            ;2011-06-22;2011.0;DIESEL
2023-10-31 01:58:47.327180;864;COMPANHIA CARRIS PORTO ALEGRENSE;IWI6798;VOLVO                                             ;B290R                                             ;2015-02-14;2014.0;DIESEL
2023-10-31 01:58:47.327180;1095;TRANSPORTES COLETIVOS TREVO LTDA;ITE6883;M. BENZ;O500MA                                            ;2010-12-31;2010.0;DIESEL
2023-10-31 01:58:47.327180;4849;AUTO VIACAO PRESIDENTE VARGAS LTDA;ITV7133;M. BENZ;O-500M                                            ;2012-12-13;2012.0;DIESEL
2023-10-31 01:58:47.327180;6115;AUTO VIACAO NAVEGANTES LTDA;ISR7180;M. BENZ;O-500M                                            ;2012-01-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;3114;SUDESTE TRANSPORTES COLETIVOS LTDA;ISL6878;M. BENZ;O-500M                                            ;2011-11-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;4448;VIACAO ALTO PETROPOLIS LTDA;IQY7302;M. BENZ;O-500M                                            ;2010-07-23;2010.0;DIESEL
2023-10-31 01:58:47.327180;4471;VIACAO ALTO PETROPOLIS LTDA;IQY7381;M. BENZ;O-500M                                            ;2010-07-23;2010.0;DIESEL
2023-10-31 01:58:47.327180;2220;VIACAO TERESOPOLIS CAVALHADA LTDA;ISU7441;M. BENZ;OF 1722                                           ;2012-02-15;2011.0;DIESEL
2023-10-31 01:58:47.327180;6711;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ITR8044;M. BENZ;OF 1721                                           ;2012-11-07;2012.0;DIESEL
2023-10-31 01:58:47.327180;850;COMPANHIA CARRIS PORTO ALEGRENSE;IWH8A84;VOLVO                                             ;B290R                                             ;2015-01-31;2014.0;DIESEL
2023-10-31 01:58:47.327180;832;COMPANHIA CARRIS PORTO ALEGRENSE;IWI8812;VOLVO                                             ;B340MA                                            ;2015-02-20;2014.0;DIESEL
2023-10-31 01:58:47.327180;6431;NORTRAN TRANSPORTES COLETIVOS LTDA;ISJ8967;M. BENZ;OF 1722                                           ;2011-10-18;2011.0;DIESEL
